SOURCE_ID,source_title,organization,source_type,publication_date,data_reference_date,URL,what_data_was_extracted,geographic_scope,official_or_secondary,confidence,comments
S15,Presidium of Supreme Soviet Decrees 579-XII and 580-XII of 08.05.1992,Oliy Kengash Rayosati,Legal act,1992-05-08,1992-05-08,https://lex.uz/ru/docs/281121,"Renaming of Kirov, Lenin, Oktyabr, Frunze and Kuybishev districts",Tashkent City,OFFICIAL,A,Corrects the widespread claim that Kuybishev became Mirobod; it became Mirzo Ulugʻbek.
S16,Senate Resolution No. 39-I of 06.05.2005,Oliy Majlis Senati,Legal act,2005-05-06,2005-05-06,https://www.lex.uz/docs/1154885,Akmal Ikromov -> Uchtepa,Tashkent City,OFFICIAL,A,NULL
S17,Senate Resolution No. 133-II of 04.12.2010,Oliy Majlis Senati,Legal act,2010-12-04,2010-12-04,https://lex.uz/ru/docs/2949066,Sobir Rahimov -> Olmazor,Tashkent City,OFFICIAL,A,NULL
S18,Senate Resolution No. PS-441-II of 29.08.2014,Oliy Majlis Senati,Legal act,2014-08-29,2014-08-29,https://www.lex.uz/ru/docs/2466827,Hamza -> Yashnobod,Tashkent City,OFFICIAL,A,NULL
S19,Presidential Decree No. PF-22 of 16.02.2026,Oʻzbekiston Respublikasi Prezidenti,Legal act,2026-02-16,2026,https://lex.uz/docs/8050787,2026 declared the Year of Mahalla Development,Uzbekistan,OFFICIAL,A,Signals further mahalla-level change during 2026.
S20,Toshkent mahallalari,Uzbek Wikipedia,Tertiary compilation,~2025,2024-10-25,https://uz.wikipedia.org/wiki/Toshkent_mahallalari,Per-district mahalla counts and the numbers/dates of the 2023-2024 Kengash decisions,Tashkent City,SECONDARY,C,Used ONLY for the decision numbers and the 585 total - both independently confirmed against the official cadastre register (S03).
S21,"Decision No. III-17-97-14-198-K/25 of 30.12.2025 (Bektemir land-tax coefficients, Annex 1)",Xalq deputatlari Bektemir tumani Kengashi,Legal act (PDF),2025-12-30,2026 tax year,https://kengash.gov.uz/bektemir/documents/229609,Enumeration of all 18 current Bektemir mahallas,Bektemir district,OFFICIAL,A,Confirms the 18-mahalla count independently of S03. Demonstrates that district land-tax decisions enumerate every current mahalla - a reusable route for per-district verification via kengash.gov.uz.
S22,Tashkent City Administration - districts,Toshkent shahar hokimligi,Government website,current,2026-09-18,https://tashkent.uz/en/districts,Confirms exactly 12 current districts,Tashkent City,OFFICIAL,A,NULL
S23,Government portal - Tashkent district hokimiyats,Oʻzbekiston Respublikasi hukumat portali,Government website,current,2026-09-18,https://gov.uz/oz/toshkent/departments/regional,"District list, addresses, some areas and populations (mostly undated)",Tashkent City,OFFICIAL,C,"Several district pages carry no data; figures given are undated and in places stale or inconsistent (e.g. Sergeli ""over 226,000"" vs 177,700 official)."
S24,Kun.uz / Gazeta.uz / Daryo.uz / Podrobno.uz reporting on the 2020-2021 boundary changes,Various Uzbek media,News,2020-2021,2020-2021,https://kun.uz/uz/news/2021/08/27/toshkent-viloyati-va-toshkent-shahri-chegaralari-ozgartirildi,Hectare-level detail of the 2021 city/region transfer and affected population,Tashkent City / Region,SECONDARY,C,Used for detail that the primary acts did not expose; all headline facts cross-checked against S13.
S25,New Tashkent reporting,"Gazeta.uz, Kun.uz, Spot.uz",News,2023-2025,2023-2025,https://www.gazeta.uz/oz/2023/11/11/new-tashkent/,"Status of the proposed ""Yangi Toshkent"" 13th district",Tashkent City / Region,SECONDARY,C,"Explicitly recorded as PROPOSED, NOT ENACTED."
