SOURCE_ID,source_title,organization,source_type,publication_date,data_reference_date,URL,what_data_was_extracted,geographic_scope,official_or_secondary,confidence,comments
S011,443-IV - establishment of Yangihayot district,"Legislative Chamber, Oliy Majlis",Legal act,2020-09-08,2020-09-08,https://lex.uz/docs/5187492,"Creation of the 12th district; 4,419.6 ha total; source territories and named mahallas transferred",Tashkent City + Region,Official,A,Area figure reconciles to within 0.09% of the sum of Yangihayot mahalla areas in S001 - strong cross-validation that Maydoni is in hectares.
S012,PQ-4888 - measures to establish Yangihayot district,President of Uzbekistan,Presidential resolution,2020-11-11,2020-11-11,https://lex.uz/docs/5094720,"Hokimlik establishment, staffing, budget",Tashkent City,Official,A,NULL
S013,1290-IV / SQ-379-IV - change of Tashkent City and Region borders,Oliy Majlis (both chambers),Legal act,2021-08-16 / 2021-08-27,2021-08-16,https://lex.uz/ru/docs/6368184,"7,853.3 ha annexed into the city, 171.3 ha ceded; per-district hectares; 42 mahallas, 95,872 residents, 23,249 families, 29,010 dwellings",Tashkent City + Region,Official,A,CRITICAL: invalidates every district area figure published before 2021-08.
S014,2456-III - change of Zangiota and Sergeli borders,"Legislative Chamber, Oliy Majlis",Legal act,2019-04-16,2019-04-16,https://lex.uz/docs/5164334,428 ha annexed into Tashkent City,Tashkent City + Region,Official,A,NULL
S015,124/15-5 - establishing the borders of mahallas in Tashkent city,Xalq deputatlari Toshkent shahar Kengashi,Legal act,2016-07-12,2016-07-12,https://lex.uz/docs/3073794,"Historic 505-mahalla register with official codes (B/M/MU/O/S/U/Ch/Sh/Ya/YaK/Yu prefixes) and boundary descriptions, 11 districts",Tashkent City,Official,B,SUPERSEDED by the 2023-2024 decisions but the only public source of the historic official CODE scheme. Valuable for name-change reconciliation.
S016,"149/18-6 - splitting the Humo mahalla, Sergeli",Tashkent City Kengash,Legal act,2020-08-19,2020-08-19,https://lex.uz/docs/4986477,Humo split into 5 mahallas; city total stated as 519,Sergeli district,Official,A,NULL
S017,CoM Regulation 586 - MFY yagona reyestri,Cabinet of Ministers / O'zbekiston Mahallalari Uyushmasi,Legal act,2025-09-15,2025-12-01,https://lex.uz/uz/docs/-7733032,"Architecture of the Unified Register of Mahalla Citizens' Assemblies: mahalla code, STIR, Kengash decision reference, territory, geospatial boundary",National,Official,A,THE SINGLE HIGHEST-VALUE UNOPENED DOOR. One export closes almost every remaining gap in this dataset.
S018,CoM Resolution 832 - State Register of administrative-territorial units,Cabinet of Ministers,Legal act,2024-12-10,2024-12-10,https://lex.uz/docs/7254182,Register inside the land cadastre run by the Cadastre Agency; MHOBT codes assigned by NSC,National,Official,A,"The authoritative route to VERIFY the SOATO codes, which are currently grade E in this dataset."
S019,CoM Resolution 294 amending Regulation 48,Cabinet of Ministers,Legal act,2024-05-20,2024-05-21,https://lex.uz/ru/docs/6931873,Mahalla creation/merger competence moved to city Kengash; minimum size 500 -> 400 households,National,Official,A,NULL
S020,Mehnat (labour) Jan-Jun 2026,Toshstat,Statistical release (PDF),2026,2026-06-30,https://toshstat.uz/2026/mehnat/mehnat1.pdf,Average monthly nominal salary by district,Tashkent City + districts,Official,A,Excludes small/micro enterprises and agriculture.
S021,Ichki savdo (internal trade) Jan-Jul 2026,Toshstat,Statistical release (PDF),2026,2026-07-31,https://toshstat.uz/2026/savdo/ichki08.pdf,"Retail turnover by district; retail outlet, wholesale and catering counts",Tashkent City + districts,Official,A,HIGH VALUE FOR RETAIL ADVISORY.
S022,Korxona va tashkilotlar registri (enterprise register) Aug 2026,Toshstat,Statistical release (PDF),2026-08-15,2026-08-01,https://toshstat.uz/2026/Registr/Iyul.pdf,Registered enterprises by district; sectoral and foreign-investment breakdown,Tashkent City + districts,Official,A,NULL
S023,Qurilish (construction) Jan-Apr 2026,Toshstat,Statistical release (PDF),2026-05-26,2026-04-30,https://toshstat.uz/2026/qurilish/qurilish4.pdf,Construction works volume by district,Tashkent City + districts,Official,A,NULL
S024,Sog'liqni saqlash (health) statistics,Toshstat,Statistical release (PDF),2024,2024-01-01,https://toshstat.uz/2023/Sogliq/sogliq.pdf,"Hospitals, polyclinics, doctors and mid-level staff by district",Tashkent City + districts,Official,A,"Several district cells are blank in the source table - recorded as NULL, not zero."
S025,Maktabgacha ta'lim (preschool) statistics,Toshstat,Statistical release (PDF),2022,2021-12-31,https://www.toshstat.uz/2021/Talim/maktabgacha.pdf,Preschool institutions by district,Tashkent City + districts,Official,B,The source's own 'children' column does not reconcile with its city total - only institution counts were taken.
S026,Shahar va tumanlar - regional directory,Government Portal gov.uz,Government portal,current,2026,https://gov.uz/oz/toshkent/departments/regional,Authoritative list of the 12 district hokimiyats,Tashkent City,Official,A,Independent confirmation that the district count is 12.
S027,District hokimiyat 'About' pages,gov.uz / <district>.tashkent.uz,Government portal,current,undated,https://gov.uz/oz/bektemir/pages/about,"Official areas for Bektemir, Sergeli, Uchtepa, Yashnobod, Shayxontohur, Yangihayot; hokimiyat addresses; founding dates and former names",6 of 12 districts,Official,B,Pages are undated. Five districts return 'Ma'lumot yo'q' (no information). Sergeli's stated population conflicts with the statistics office - do not use.
S028,FHIR CodeSystem mahalla-cs,Ministry of Health / UZINFOCOM,Terminology service,2026-09-17,current,https://build.fhir.org/ig/uzinfocom-org/digital-health-ig/en/CodeSystem-mahalla-cs.html,~1000+ official mahalla codes with UZ/RU/EN names (no geometry),National,Official,A,NOT YET JOINED into this dataset. Best available route to populate official_unique_code.
S029,uzbekistan-regions-data (community dataset),"MIMAXUZ, GitHub",Crowdsourced dataset,NULL,NULL,https://raw.githubusercontent.com/MIMAXUZ/uzbekistan-regions-data/master/JSON/districts.json,"SOATO codes 1726 = Toshkent shahri, 1727 = Toshkent viloyati; 12 district 7-digit codes",National,Crowdsourced,E,THE ONLY SOURCE FOR THE DISTRICT SOATO CODES IN THIS DATASET. All such codes are grade E and MUST be verified before use in any system of record.
S030,Guide to the use of statistical classifiers,Milliy statistika qo'mitasi,Methodological guide (PDF),2020,2020-08-01,https://stat.uz/images/uploads/docs/rukovodstvo.pdf,SOATO code STRUCTURE: country(17) + region(2) + district(3) + subdivision(3),National,Official,A,Confirms the 1726 parent code structure but the published extract does not reach the Tashkent City section.
S031,COD-AB Uzbekistan,OCHA / ITOS-UGA,Humanitarian dataset,2024,2024-08-17,https://data.humdata.org/dataset/cod-ab-uzb,ADM0/ADM1/ADM2 boundaries only - NO mahalla level,National,Secondary,A,"Negative finding, verified. HDX's own caveat calls these unofficial."
S032,geoBoundaries gbOpen UZB,William & Mary geoLab,Open dataset,current,current,https://www.geoboundaries.org/,ADM0/ADM1/ADM2 only; ADM3 and ADM4 return 404 for UZB,National,Secondary,A,"Negative finding, verified by 404."
S033,Toshkent shahri tumanlari (district histories),Shosh.uz,Secondary reference site,undated,various,https://shosh.uz/toshkent-shahri-tumanlari/,District founding dates and former names,Tashkent City,Secondary,C,"Used ONLY for historical founding dates and former names, never for current figures."
S034,CMWP Uzbekistan market commentary via Spot.uz,CMWP (commercial consultancy),Market research via media,2026-01-06,2025-12-31,https://www.spot.uz/oz/2026/01/06/cmwp-year/,"Shopping centre count and GLA, retail vacancy, GLA per 1,000, office stock and vacancy, warehouse stock",Tashkent City,Secondary (commercial),C,"COMMERCIAL MARKET RESEARCH, NOT OFFICIAL STATISTICS. Retained because it is directly relevant to retail advisory. Two different GLA-per-1,000 figures exist (165 and 184) - both retained, do not average."
S035,Raqamli mahalla platform passport,reestr.uz (State register of information systems),Government register,2024-04-13,2024,https://reestr.uz/en/projects/2078?type=passport,"Platform owner, developer, scope, identifiers used",National,Official,A,NULL
