scope,indicator,value,unit,reference_date,source_name,source_url,confidence,last_verified_date,notes
Toshkent shahri (Tashkent City),housing_stock_apartments,600000,"units (approx, '>600,000')",2026-01-01/2026-06-01,"Cadastre Agency / National Centre for Public Appraisal, via Gazeta.uz 10.09.2026",https://www.gazeta.uz/oz/2026/09/10/appraisal-tashkent/,C,2026-09-18,"Stated as 'over 600,000' - treat as a lower bound"
Toshkent shahri (Tashkent City),housing_stock_private_houses,213000,"units (approx, '>213,000')",2026-01-01/2026-06-01,Cadastre Agency via Gazeta.uz,https://www.gazeta.uz/oz/2026/09/10/appraisal-tashkent/,C,2026-09-18,"Stated as 'over 213,000' - lower bound"
Toshkent shahri (Tashkent City),new_housing_completed,2170000,m2,2025-01-01/2025-12-31,CMWP Uzbekistan via Spot.uz 06.01.2026,https://www.spot.uz/oz/2026/01/06/cmwp-year/,C,2026-09-18,NULL
Toshkent shahri (Tashkent City),schools_general_secondary,503,institutions,2025-09 (start of 2025/26 school year),NSC via Talimxabarlari 02.04.2026,https://talimxabarlari.uz/69780/,C,2026-09-18,NULL
Toshkent shahri (Tashkent City),universities,92,institutions,2024-06,Toshstat news 19.06.2024,https://toshstat.uz/uz/matbuot-markazi/news/11110-toshkent-shahrida-faoliyat-yuritayotgan-oliy-ta-lim-tashkilotlar-eng-ko-p-qaysi-hududda-joylashgan,B,2026-09-18,NULL
Toshkent shahri (Tashkent City),registered_business_entities,114777,units,2026-08-01,"Toshstat, Enterprise register",https://toshstat.uz/2026/Registr/Iyul.pdf,A,2026-09-18,NULL
Toshkent shahri (Tashkent City),retail_outlets_enterprises,14825,units,2026-01-01/2026-07-31,"Toshstat, Internal trade",https://toshstat.uz/2026/savdo/ichki08.pdf,A,2026-09-18,"large 231 / small+micro 14,594"
Toshkent shahri (Tashkent City),catering_facilities,6070,units,2026-01-01/2026-07-31,"Toshstat, Internal trade",https://toshstat.uz/2026/savdo/ichki08.pdf,A,2026-09-18,NULL
Toshkent shahri (Tashkent City),retail_turnover,82233.0,bn UZS,2026-01-01/2026-07-31,"Toshstat, Internal trade",https://toshstat.uz/2026/savdo/ichki08.pdf,A,2026-09-18,NULL
Toshkent shahri (Tashkent City),shopping_centres_professional,24,centres,2025-12-31,CMWP Uzbekistan via Spot.uz,https://www.spot.uz/oz/2026/01/06/cmwp-year/,C,2026-09-18,"Commercial market research, not official statistics"
Toshkent shahri (Tashkent City),shopping_centre_GLA_stock,514000,m2 GLA,2025-12-31,CMWP via Spot.uz,https://www.spot.uz/oz/2026/01/06/cmwp-year/,C,2026-09-18,NULL
Toshkent shahri (Tashkent City),retail_vacancy,18,%,2025-12-31,CMWP via Spot.uz,https://www.spot.uz/oz/2026/01/06/cmwp-year/,C,2026-09-18,NULL
Toshkent shahri (Tashkent City),retail_GLA_per_1000_inhabitants,165,"m2 per 1,000",2025-12-31,CMWP via Spot.uz,https://www.spot.uz/oz/2026/01/06/cmwp-year/,C,2026-09-18,"A later CMWP presentation gives 184 for 2026 - both retained, do not average"
Toshkent shahri (Tashkent City),office_stock_GLA,591217,m2 GLA,2025-12-31,CMWP via Spot.uz,https://www.spot.uz/oz/2026/01/06/cmwp-year/,C,2026-09-18,+10.2% YoY
Toshkent shahri (Tashkent City),office_vacancy,16,%,2025-12-31,CMWP via Spot.uz,https://www.spot.uz/oz/2026/01/06/cmwp-year/,C,2026-09-18,down from ~25%
Toshkent shahri (Tashkent City),warehouse_stock,634000,m2,2025-12-31,CMWP via Spot.uz,https://www.spot.uz/oz/2026/01/06/cmwp-year/,C,2026-09-18,NULL
Toshkent shahri (Tashkent City),registered_vehicles_owned_by_population,637706,vehicles,2026-07-01,NSC via Spot.uz 24.08.2026,https://www.spot.uz/oz/2026/08/24/public-cars/,C,2026-09-18,Highest of all Uzbek regions
Toshkent shahri (Tashkent City),GRP,226028.7,bn UZS,2026-01-01/2026-06-30,"Toshstat, YaHM",https://toshstat.uz/2026/YAHM/svod2.pdf,A,2026-09-18,"21.0% of national GRP, +13.3%"
Toshkent shahri (Tashkent City),GRP_per_capita,70740.8,thousand UZS,2026-01-01/2026-06-30,"Toshstat, YaHM",https://toshstat.uz/2026/YAHM/svod2.pdf,A,2026-09-18,NULL
