district_name_uz_latin,indicator,value,unit,reference_date,source_name,source_url,confidence,last_verified_date,notes
Mirzo Ulug'bek,population_total,318000,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Uchtepa,population_total,289600,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Yashnobod,population_total,283300,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Chilonzor,population_total,269500,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Yangihayot,population_total,156700,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Sergeli,population_total,154100,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Mirobod,population_total,147800,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Yakkasaroy,population_total,125500,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Bektemir,population_total,54000,persons (doimiy aholi),2022-07-01,Kun.uz citing Tashkent City Statistics Dept (pub 06.08.2022),https://kun.uz/ru/51739590,C,2026-09-18,NULL
Olmazor,population_total,416838,"persons (doimiy aholi, exact)",2025-10-01,"Milliy statistika qo'mitasi, Top-10 districts (pub 05.11.2025)",https://stat.uz/uz/matbuot-markazi/qo-mita-yangiliklar/64974-a-olisi-soni-eng-k-p-b-lgan-top-10-tuman-va-sha-arlar-2,A,2026-09-18,Exact unit-level figure; agrees with the Toshstat rounded value
Yunusobod,population_total,391075,"persons (doimiy aholi, exact)",2025-10-01,"Milliy statistika qo'mitasi, Top-10 districts (pub 05.11.2025)",https://stat.uz/uz/matbuot-markazi/qo-mita-yangiliklar/64974-a-olisi-soni-eng-k-p-b-lgan-top-10-tuman-va-sha-arlar-2,A,2026-09-18,Exact unit-level figure; agrees with the Toshstat rounded value
Shayxontohur,population_total,372674,"persons (doimiy aholi, exact)",2025-10-01,"Milliy statistika qo'mitasi, Top-10 districts (pub 05.11.2025)",https://stat.uz/uz/matbuot-markazi/qo-mita-yangiliklar/64974-a-olisi-soni-eng-k-p-b-lgan-top-10-tuman-va-sha-arlar-2,A,2026-09-18,Exact unit-level figure; agrees with the Toshstat rounded value
Olmazor,population_total,419600,persons (doimiy aholi),2026-04-01,NSC via Yuz.uz (pub 19.06.2026),https://yuz.uz/ru/news/naselenie-uzbekistana-prevsilo-384-mln-chelovek-nazvan-same-gustonaselenne-rayon-i-goroda,C,2026-09-18,NULL
Yunusobod,population_total,395000,persons (doimiy aholi),2026-04-01,NSC via Yuz.uz (pub 19.06.2026),https://yuz.uz/ru/news/naselenie-uzbekistana-prevsilo-384-mln-chelovek-nazvan-same-gustonaselenne-rayon-i-goroda,C,2026-09-18,NULL
Shayxontohur,population_total,374600,persons (doimiy aholi),2026-04-01,NSC via Yuz.uz (pub 19.06.2026),https://yuz.uz/ru/news/naselenie-uzbekistana-prevsilo-384-mln-chelovek-nazvan-same-gustonaselenne-rayon-i-goroda,C,2026-09-18,NULL
Bektemir,migration_in,2621,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Bektemir,migration_out,1242,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Bektemir,net_migration,1379,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Chilonzor,migration_in,4944,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Chilonzor,migration_out,6026,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Chilonzor,net_migration,-1082,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Mirobod,migration_in,3091,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Mirobod,migration_out,2643,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Mirobod,net_migration,448,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Mirzo Ulug'bek,migration_in,6358,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Mirzo Ulug'bek,migration_out,4745,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Mirzo Ulug'bek,net_migration,1613,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Olmazor,migration_in,4861,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Olmazor,migration_out,4700,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Olmazor,net_migration,161,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Sergeli,migration_in,7580,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Sergeli,migration_out,4523,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Sergeli,net_migration,3057,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Shayxontohur,migration_in,3963,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Shayxontohur,migration_out,4869,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Shayxontohur,net_migration,-906,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Uchtepa,migration_in,6788,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Uchtepa,migration_out,5152,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Uchtepa,net_migration,1636,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Yakkasaroy,migration_in,2607,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Yakkasaroy,migration_out,2436,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Yakkasaroy,net_migration,171,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Yashnobod,migration_in,8715,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Yashnobod,migration_out,5000,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Yashnobod,net_migration,3715,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Yunusobod,migration_in,6598,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Yunusobod,migration_out,5262,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Yunusobod,net_migration,1336,persons,2026-01-01/2026-06-30,DERIVED: migration_in minus migration_out,https://toshstat.uz/2026/demografiya/demografiya1.pdf,D,2026-09-18,Derived by subtraction from two published figures
Yangihayot,migration_in,6374,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
Yangihayot,migration_out,3757,persons,2026-01-01/2026-06-30,"Toshstat, Demografiya Jan-Jun 2026",https://toshstat.uz/2026/demografiya/demografiya1.pdf,A,2026-09-18,"Period total, not a stock"
