canonical_name,main_category,subcategory,district,address,phone,website,rating,reviews,google_lat,google_lng,yandex_lat,yandex_lng,dgis_lat,dgis_lng,google_url,yandex_url,dgis_url,primary_source,operating_status,admin_comment
A-Ristorante,restaurants,casual dining,Mirabad,"ул. Туркистан, 7A",,,4.8,98,41.295619,69.292756,41.295480,69.292755,,,https://www.google.com/maps/place/A-RISTORANTE,https://yandex.uz/maps/org/222218743543/,,google,,"Мирабадский prefix confirmed; Yandex reviews 422"
Yemali,restaurants,casual dining,Mirabad,"ул. Кушкуприк, 24",,,4.7,41,41.289245,69.291492,,,,,https://www.google.com/maps/place/Yemali,,,google,,"Azerbaijani; district by street (Кушкуприк = Mirabad), no Yandex capture this pass"
Manana,restaurants,casual dining,Mirabad,"просп. Амира Темура, 22/5",,,4.5,208,41.299695,69.282490,41.299589,69.282302,,,https://www.google.com/maps/place/Manana,https://yandex.uz/maps/org/68902836122/,,google,,"Georgian; Мирабадский prefix confirmed; Yandex reviews 536"
Тяньцзинь,restaurants,casual dining,Mirabad,"просп. Амира Темура, 30",,,,,,,41.296142,69.286022,,,,https://yandex.uz/maps/org/231088156958/,,yandex,,"Chinese; Мирабадский prefix confirmed; Yandex reviews 811"
Basilic,restaurants,casual dining,Mirabad,"просп. Амира Темура, 19",,,,,,,41.303924,69.278692,,,,https://yandex.uz/maps/org/239666312927/,,yandex,,"Мирабадский prefix confirmed"
Номдор,restaurants,casual dining,Mirabad,"ул. Шахрисабз, 21A/1",,,,,,,41.304401,69.280873,,,,https://yandex.uz/maps/org/62850972402/,,yandex,,"National cuisine — subtype arguably национальная кухня; Yandex reviews 5321 (district top performer)"
Gōsht West,restaurants,casual dining,Mirabad,"ул. Шахрисабз, 5А",,,,,,,41.305487,69.283292,,,,https://yandex.uz/maps/org/89385993414/,,yandex,,"Meat/grill concept — subtype leans steakhouse; Yandex reviews 885"
FoodMall Tashkent,restaurants,casual dining,Mirabad,"Шахрисабзский проезд, 6",,,,,,,41.304196,69.283156,,,,https://yandex.uz/maps/org/…,,yandex,,"Food hall (multi-operator) — not a single casual-dining unit; keep or reclassify; org id not captured"
Ресторан GRADO,restaurants,casual dining,Mirabad,"ул. Афросиаб, 35",,,4.4,76,41.301262,69.271815,,,,,https://www.google.com/maps/place/GRADO,,,google,,"District by street (Афросиаб = Mirabad); no Yandex capture this pass"
成都饭店 Cheng Du,restaurants,casual dining,Mirabad,"Mirabad Drive 2, 15",,,4.7,6,41.292689,69.268987,,,,,https://www.google.com/maps/place/Cheng+Du,,,google,,"Chinese; low review base (6); not found on Yandex search this pass"
The Mayfair Pub,restaurants,casual dining,Mirabad,"ул. Темирйулчилар, 150",,,4.5,22,41.279632,69.276052,41.279559,69.275931,,,https://www.google.com/maps/place/The+Mayfair+Pub,https://yandex.uz/maps/org/113720200298/,,google,,"Pub/gastropub subtype; Google address Гейдара Алиева 148-150 — same corner"
Бурбон,restaurants,casual dining,Mirabad,"ул. Таллимаржон, 135",,,4.2,215,41.273388,69.296948,41.273335,69.296908,,,https://www.google.com/maps/place/Bourbon+Restaurant,https://yandex.uz/maps/org/…,,google,,"District by street (Таллимаржон = Mirabad south); org id not captured"
Fabis,restaurants,casual dining,Mirabad,"ул. Таллимаржон, 15Б",,,4.1,91,41.273939,69.298989,41.273967,69.298904,,,https://www.google.com/maps/place/Fabis,https://yandex.uz/maps/org/…,,google,,"District by street; org id not captured"
Rasputin,restaurants,casual dining,Mirabad,"ул. Таллимаржон, 135/6",,,4.5,89,41.274076,69.300279,41.274064,69.300299,,,https://www.google.com/maps/place/Rasputin+Restaurant,https://yandex.uz/maps/org/…,,google,,"District by street; org id not captured"
Turka Saray,restaurants,casual dining,Mirabad,"ул. Нукус, 83А",,,,,,,41.286343,69.270765,,,,https://yandex.uz/maps/org/…,,yandex,,"Turkish; Yandex also lists 8-й пр. Мироншаха 2 as entrance; org id not captured"
Osteria Mario,restaurants,casual dining,Mirabad,"Istikbol Street (875J+V75)",,,4.4,48,41.309688,69.280688,,,,,https://www.google.com/maps/place/Osteria+Mario,,,google,,"BORDER: district unverified — north of Шахрисабз line, possibly Mirzo-Ulugbek; confirm before import"
